width_um,frequency_THz,frequency_Hz,lambda_um,beta_rad_per_um,n_eff_from_beta
0.4,189.67099580422087,189670995804220.88,1.5805919968356519,5.8296893601709465,1.4665109966110992
0.4,189.68349966049382,189683499660493.8,1.580487804878049,5.830107618420355,1.4665195345282869
0.4,189.69600351676675,189696003516766.75,1.5803836266561204,5.830525890916416,1.4665280749033183
0.4,189.7085073730397,189708507373039.72,1.5802794621671499,5.8309441776585125,1.4665366177355523
0.4,189.72101122931264,189721011229312.62,1.5801753114084232,5.83136247864602,1.4665451630243471
0.4,189.73351508558557,189733515085585.56,1.5800711743772244,5.831780793878317,1.4665537107690594
0.4,189.74601894185852,189746018941858.53,1.5799670510708403,5.832199123354786,1.4665622609690487
0.4,189.75852279813145,189758522798131.44,1.5798629414865581,5.8326174670748046,1.4665708136236737
0.4,189.77102665440438,189771026654404.38,1.5797588456216647,5.833035825037749,1.4665793687322917
0.4,189.78353051067734,189783530510677.34,1.5796547634734486,5.833454197243001,1.4665879262942627
0.4,189.79603436695027,189796034366950.28,1.5795506950391989,5.833872583689937,1.4665964863089445
0.4,189.80853822322322,189808538223223.22,1.5794466403162055,5.834290984377939,1.4666050487756976
0.4,189.82104207949615,189821042079496.16,1.579342599301759,5.834709399306383,1.4666136136938805
0.4,189.83354593576908,189833545935769.1,1.5792385719931499,5.835127828474647,1.466622181062852
0.4,189.84604979204204,189846049792042.03,1.5791345583876706,5.835546271882113,1.4666307508819734
0.4,189.85855364831497,189858553648314.97,1.5790305584826136,5.835964729528158,1.466639323150603
0.4,189.8710575045879,189871057504587.9,1.578926572275272,5.836383201412161,1.4666478978681017
0.4,189.88356136086085,189883561360860.84,1.5788225997629397,5.8368016875335025,1.466656475033829
0.4,189.89606521713378,189896065217133.78,1.578718640942912,5.837220187891557,1.4666650546471454
0.4,189.90856907340674,189908569073406.75,1.5786146958124834,5.837638702485708,1.4666736367074114
0.4,189.92107292967967,189921072929679.66,1.5785107643689513,5.8380572313153305,1.4666822212139874
0.4,189.9335767859526,189933576785952.6,1.578406846609612,5.838475774379805,1.4666908081662346
0.4,189.94608064222555,189946080642225.56,1.5783029425317623,5.838894331678511,1.4666993975635139
0.4,189.95858449849848,189958584498498.47,1.5781990521327016,5.839312903210825,1.4667079894051862
0.4,189.97108835477144,189971088354771.44,1.5780951754097283,5.839731488976109,1.466716583690608
0.4,189.98359221104437,189983592211044.38,1.5779913123601421,5.840150088973707,1.4667251804191326
0.4,189.9960960673173,189996096067317.28,1.577887462981244,5.840568703202966,1.4667337795901134
0.4,190.00859992359025,190008599923590.25,1.5777836272703345,5.840987331663237,1.4667423812029052
0.4,190.02110377986318,190021103779863.2,1.5776798052247156,5.84140597435386,1.4667509852568605
0.4,190.0336076361361,190033607636136.12,1.5775759968416898,5.841824631274181,1.466759591751333
